ucid,ucpactor,uctitle,ucdesc
ucid432,Clinician or APP,Prime Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid433,Clinician,normal Operation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid434,Clinician,Patient-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid435,Patient,Clinician-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid436,Clinician,ICE-Dectected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid437,ICE app,Resume Operation After ICE-Dected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid438,Clinician,ICE-initiated Audible Alarm Inactivation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid439,Clinician or APP,Resume Infusion,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid440,Clinician,Flush Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid441,Clinician,Prime Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid442,Patient,normal Operation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid443,Clinician,Patient-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid444,ICE app,Clinician-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid445,Clinician,ICE-Dectected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid446,Clinician or APP,Resume Operation After ICE-Dected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid447,Clinician,ICE-initiated Audible Alarm Inactivation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid448,Clinician,Resume Infusion,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid449,Patient,Flush Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid450,Clinician,Prime Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid451,ICE app,normal Operation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid452,Clinician,Patient-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid453,Clinician or APP,Clinician-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid454,Clinician,ICE-Dectected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid455,Clinician,Resume Operation After ICE-Dected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid456,Patient,ICE-initiated Audible Alarm Inactivation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid457,Clinician,Resume Infusion,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid458,ICE app,Flush Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid459,Clinician,Prime Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid460,Clinician or APP,normal Operation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid461,Clinician,Patient-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid462,Clinician,Clinician-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid463,Patient,ICE-Dectected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid464,Clinician,Resume Operation After ICE-Dected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid465,ICE app,ICE-initiated Audible Alarm Inactivation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid466,Clinician,Resume Infusion,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid467,Clinician or APP,Flush Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid468,Clinician,Prime Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid469,Clinician,normal Operation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid470,Patient,Patient-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid471,Clinician,Clinician-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid472,ICE app,ICE-Dectected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid473,Clinician,Resume Operation After ICE-Dected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid474,Clinician or APP,ICE-initiated Audible Alarm Inactivation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid475,Clinician,Resume Infusion,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid476,Clinician,Flush Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid477,Patient,Prime Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid478,Clinician,normal Operation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid479,ICE app,Patient-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid480,Clinician,Clinician-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid481,Clinician or APP,ICE-Dectected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid482,Clinician,Resume Operation After ICE-Dected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid483,Clinician,ICE-initiated Audible Alarm Inactivation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid484,Patient,Resume Infusion,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid485,Clinician,Flush Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid486,ICE app,Prime Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid487,Clinician,normal Operation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid488,Clinician or APP,Patient-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid489,Clinician,Clinician-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid490,Clinician,ICE-Dectected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid491,Patient,Resume Operation After ICE-Dected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid492,Clinician,ICE-initiated Audible Alarm Inactivation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid493,ICE app,Resume Infusion,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid494,Clinician,Flush Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid495,Clinician or APP,Prime Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid496,Clinician,normal Operation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid497,Clinician,Patient-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid498,Patient,Clinician-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid499,Clinician,ICE-Dectected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid500,ICE app,Resume Operation After ICE-Dected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
