"COMPONENTID","COMPONENTNAME","FUNCTION"
"CP5133","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5134","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5135","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"CP5136","Power Control","The patient should not receive so much drug that makes him unaware"
"CP5137","Control Panel","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5138","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5139","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5140","Drug Libary Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5141","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP5142","Scanner","Performs primary pump operation"
"CP5143","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5144","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5145","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5146","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5147","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP5148","Drug Reservoir","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5149","Patient Button","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5150","Safety","The patient should receive enough drug to relieve the pain."
"CP5151","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5152","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5153","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5154","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"CP5155","Fault Logger","The patient should not receive so much drug that makes him unaware"
"CP5156","Upstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5157","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5158","ICE Bus Adapter","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5159","Commands","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5160","Parameters","Patient''s health information should be available to those caring for the patient, and only those."
"CP5161","Security Status","Performs primary pump operation"
"CP5162","Alarms","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5163","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5164","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5165","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5166","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP5167","Drug Libary Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5168","Event Logger Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5169","Scanner","The patient should receive enough drug to relieve the pain."
"CP5170","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5171","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5172","Pump","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5173","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP5174","Downstream Monitor","The patient should not receive so much drug that makes him unaware"
"CP5175","Drug Reservoir","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5176","Patient Button","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5177","Safety","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5178","Failture LED","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5179","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP5180","Pump fault manager","Performs primary pump operation"
"CP5181","Error Dector","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5182","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5183","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5184","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5185","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"CP5186","Commands","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5187","Parameters","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5188","Security Status","The patient should receive enough drug to relieve the pain."
"CP5189","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5190","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5191","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5192","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"CP5193","Operation Thread","The patient should not receive so much drug that makes him unaware"
"CP5194","Drug Libary Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5195","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5196","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5197","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5198","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP5199","Pump","Performs primary pump operation"
"CP5200","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5201","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5202","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5203","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5204","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"CP5205","Failture LED","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5206","Alarm Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5207","Pump fault manager","The patient should receive enough drug to relieve the pain."
"CP5208","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5209","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5210","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5211","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP5212","ICE Bus Adapter","The patient should not receive so much drug that makes him unaware"
"CP5213","Commands","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5214","Parameters","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5215","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5216","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5217","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"CP5218","Control Panel","Performs primary pump operation"
"CP5219","Operation Process","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5220","Operation Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5221","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5222","Event Logger Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5223","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"CP5224","Security Subsystem","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5225","Security Subsystem","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5226","Pump","The patient should receive enough drug to relieve the pain."
"CP5227","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5228","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5229","Drug Reservoir","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5230","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
"CP5231","Safety","The patient should not receive so much drug that makes him unaware"
"CP5232","Failture LED","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5233","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5234","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5235","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5236","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"CP5237","Upstream Monitor","Performs primary pump operation"
"CP5238","Downstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5239","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5240","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5241","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5242","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"CP5243","Alarms","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5244","Power Control","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5245","Control Panel","The patient should receive enough drug to relieve the pain."
"CP5246","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5247","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5248","Drug Libary Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5249","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP5250","Scanner","The patient should not receive so much drug that makes him unaware"
"CP5251","Security Subsystem","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5252","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5253","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5254","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5255","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP5256","Drug Reservoir","Performs primary pump operation"
"CP5257","Patient Button","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5258","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5259","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5260","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5261","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"CP5262","Error Dector","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5263","Fault Logger","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5264","Upstream Monitor","The patient should receive enough drug to relieve the pain."
"CP5265","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5266","ICE Bus Adapter","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5267","Commands","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5268","Parameters","Patient''s health information should be available to those caring for the patient, and only those."
"CP5269","Security Status","The patient should not receive so much drug that makes him unaware"
"CP5270","Alarms","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5271","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5272","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5273","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5274","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP5275","Drug Libary Thread","Performs primary pump operation"
"CP5276","Event Logger Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5277","Scanner","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5278","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5279","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5280","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"CP5281","Upstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5282","Downstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5283","Drug Reservoir","The patient should receive enough drug to relieve the pain."
"CP5284","Patient Button","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5285","Safety","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5286","Failture LED","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5287","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP5288","Pump fault manager","The patient should not receive so much drug that makes him unaware"
"CP5289","Error Dector","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5290","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5291","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5292","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5293","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"CP5294","Commands","Performs primary pump operation"
"CP5295","Parameters","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5296","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5297","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5298","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5299","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"CP5300","Operation Process","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5301","Operation Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5302","Drug Libary Thread","The patient should receive enough drug to relieve the pain."
"CP5303","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5304","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5305","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5306","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP5307","Pump","The patient should not receive so much drug that makes him unaware"
"CP5308","Upstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5309","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5310","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5311","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5312","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"CP5313","Failture LED","Performs primary pump operation"
"CP5314","Alarm Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5315","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5316","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5317","Fault Logger","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5318","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP5319","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5320","ICE Bus Adapter","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5321","Commands","The patient should receive enough drug to relieve the pain."
"CP5322","Parameters","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5323","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5324","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5325","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"CP5326","Control Panel","The patient should not receive so much drug that makes him unaware"
"CP5327","Operation Process","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5328","Operation Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5329","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5330","Event Logger Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5331","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"CP5332","Security Subsystem","Performs primary pump operation"
"CP5333","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5334","Pump","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5335","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5336","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5337","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"CP5338","Patient Button","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5339","Safety","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5340","Failture LED","The patient should receive enough drug to relieve the pain."
"CP5341","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5342","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5343","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5344","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"CP5345","Upstream Monitor","The patient should not receive so much drug that makes him unaware"
"CP5346","Downstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5347","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5348","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5349","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5350","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"CP5351","Alarms","Performs primary pump operation"
"CP5352","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5353","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5354","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5355","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5356","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP5357","Event Logger Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5358","Scanner","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5359","Security Subsystem","The patient should receive enough drug to relieve the pain."
"CP5360","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5361","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5362","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5363","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP5364","Drug Reservoir","The patient should not receive so much drug that makes him unaware"
"CP5365","Patient Button","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5366","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5367","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5368","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5369","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"CP5370","Error Dector","Performs primary pump operation"
"CP5371","Fault Logger","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5372","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5373","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5374","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5375","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"CP5376","Parameters","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5377","Security Status","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5378","Alarms","The patient should receive enough drug to relieve the pain."
"CP5379","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5380","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5381","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5382","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP5383","Drug Libary Thread","The patient should not receive so much drug that makes him unaware"
"CP5384","Event Logger Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5385","Scanner","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5386","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5387","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5388","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"CP5389","Upstream Monitor","Performs primary pump operation"
"CP5390","Downstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5391","Drug Reservoir","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5392","Patient Button","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5393","Safety","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5394","Failture LED","Patient''s health information should be available to those caring for the patient, and only those."
"CP5395","Alarm Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5396","Pump fault manager","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5397","Error Dector","The patient should receive enough drug to relieve the pain."
"CP5398","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5399","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5400","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5401","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"CP5402","Commands","The patient should not receive so much drug that makes him unaware"
"CP5403","Parameters","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5404","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5405","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5406","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5407","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"CP5408","Operation Process","Performs primary pump operation"
"CP5409","Operation Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5410","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5411","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5412","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5413","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP5414","Security Subsystem","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5415","Pump","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5416","Upstream Monitor","The patient should receive enough drug to relieve the pain."
"CP5417","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5418","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5419","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5420","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"CP5421","Failture LED","The patient should not receive so much drug that makes him unaware"
"CP5422","Alarm Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5423","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5424","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5425","Fault Logger","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5426","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP5427","Downstream Monitor","Performs primary pump operation"
"CP5428","ICE Bus Adapter","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5429","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5430","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5431","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5432","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"CP5433","Power Control","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5434","Control Panel","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5435","Operation Process","The patient should receive enough drug to relieve the pain."
"CP5436","Operation Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5437","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5438","Event Logger Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5439","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"CP5440","Security Subsystem","The patient should not receive so much drug that makes him unaware"
"CP5441","Security Subsystem","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5442","Pump","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5443","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5444","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5445","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"CP5446","Patient Button","Performs primary pump operation"
"CP5447","Safety","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5448","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5449","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5450","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5451","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"CP5452","Fault Logger","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5453","Upstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5454","Downstream Monitor","The patient should receive enough drug to relieve the pain."
"CP5455","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5456","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5457","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5458","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"CP5459","Alarms","The patient should not receive so much drug that makes him unaware"
"CP5460","Power Control","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5461","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5462","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5463","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5464","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP5465","Event Logger Thread","Performs primary pump operation"
"CP5466","Scanner","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5467","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5468","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5469","Pump","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5470","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP5471","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5472","Drug Reservoir","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5473","Patient Button","The patient should receive enough drug to relieve the pain."
"CP5474","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5475","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5476","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5477","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
