"SUBCOMPONENTID","COMPONENTNAME","FUNCTION"
"SCP7673","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7674","Scanner","Performs primary pump operation"
"SCP7675","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7676","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7677","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7678","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7679","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7680","Upstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7681","Downstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP7682","ICE Bus Adapter","The patient should receive enough drug to relieve the pain."
"SCP7683","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7684","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7685","Alarm Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7686","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7687","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7688","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7689","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7690","Control Panel","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7691","Operation Process","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7692","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7693","Downstream Monitor","The patient should not receive so much drug that makes him unaware"
"SCP7694","Drug Reservoir","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP7695","Patient Button","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7696","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7697","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7698","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7699","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7700","Security Status","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7701","Alarms","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7702","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7703","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7704","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7705","Operation Thread","Performs primary pump operation"
"SCP7706","Drug Libary Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7707","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7708","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7709","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7710","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7711","Pump","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7712","Error Dector","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP7713","Fault Logger","The patient should receive enough drug to relieve the pain."
"SCP7714","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7715","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7716","ICE Bus Adapter","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7717","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7718","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7719","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7720","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7721","Security Status","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7722","Alarms","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7723","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7724","Control Panel","The patient should not receive so much drug that makes him unaware"
"SCP7725","Operation Process","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP7726","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7727","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7728","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7729","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7730","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7731","Failture LED","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7732","Alarm Thread","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7733","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7734","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7735","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7736","Power Control","Performs primary pump operation"
"SCP7737","Control Panel","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7738","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7739","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7740","Drug Libary Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7741","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7742","Scanner","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7743","Security Subsystem","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP7744","Security Subsystem","The patient should receive enough drug to relieve the pain."
"SCP7745","Pump","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7746","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7747","Fault Logger","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7748","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7749","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7750","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7751","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7752","Parameters","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7753","Alarm Thread","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7754","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7755","Security Status","The patient should not receive so much drug that makes him unaware"
"SCP7756","Alarms","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP7757","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7758","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7759","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7760","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7761","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7762","Drug Reservoir","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7763","Patient Button","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7764","Safety","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7765","Failture LED","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7766","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7767","Pump fault manager","Performs primary pump operation"
"SCP7768","Security Status","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7769","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7770","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7771","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7772","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7773","Operation Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7774","Drug Libary Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP7775","Event Logger Thread","The patient should receive enough drug to relieve the pain."
"SCP7776","Scanner","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7777","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7778","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7779","Pump","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7780","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7781","Fault Logger","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7782","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7783","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7784","ICE Bus Adapter","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7785","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7786","Parameters","The patient should not receive so much drug that makes him unaware"
"SCP7787","Alarm Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP7788","Pump fault manager","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7789","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7790","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7791","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7792","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7793","Operation Process","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7794","Upstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7795","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7796","Drug Reservoir","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7797","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7798","Safety","Performs primary pump operation"
"SCP7799","Failture LED","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7800","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7801","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7802","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7803","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7804","Power Control","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7805","Control Panel","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP7806","Operation Process","The patient should receive enough drug to relieve the pain."
"SCP7807","Operation Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7808","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7809","Event Logger Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7810","Scanner","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7811","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7812","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7813","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7814","Error Dector","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7815","Fault Logger","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7816","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7817","Downstream Monitor","The patient should not receive so much drug that makes him unaware"
"SCP7818","ICE Bus Adapter","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP7819","Commands","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7820","Parameters","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7821","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7822","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7823","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7824","Alarms","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7825","Power Control","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7826","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7827","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7828","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7829","Downstream Monitor","Performs primary pump operation"
"SCP7830","Drug Reservoir","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7831","Patient Button","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7832","Safety","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7833","Failture LED","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7834","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7835","Pump fault manager","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7836","Security Status","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP7837","Alarms","The patient should receive enough drug to relieve the pain."
"SCP7838","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7839","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7840","Operation Process","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7841","Operation Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7842","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7843","Event Logger Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7844","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7845","Security Subsystem","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7846","Security Subsystem","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7847","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7848","Error Dector","The patient should not receive so much drug that makes him unaware"
"SCP7849","Fault Logger","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP7850","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7851","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7852","ICE Bus Adapter","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7853","Commands","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7854","Parameters","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7855","Alarm Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7856","Pump fault manager","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7857","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7858","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7859","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7860","Control Panel","Performs primary pump operation"
"SCP7861","Operation Process","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7862","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7863","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7864","Drug Reservoir","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7865","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7866","Safety","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7867","Failture LED","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP7868","Alarm Thread","The patient should receive enough drug to relieve the pain."
"SCP7869","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7870","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7871","Alarms","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7872","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7873","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7874","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7875","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7876","Drug Libary Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7877","Event Logger Thread","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7878","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7879","Security Subsystem","The patient should not receive so much drug that makes him unaware"
"SCP7880","Security Subsystem","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP7881","Pump","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7882","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7883","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7884","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7885","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7886","ICE Bus Adapter","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7887","Commands","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7888","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7889","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7890","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7891","Security Status","Performs primary pump operation"
"SCP7892","Alarms","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7893","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7894","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7895","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7896","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7897","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7898","Drug Reservoir","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP7899","Patient Button","The patient should receive enough drug to relieve the pain."
"SCP7900","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7901","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7902","Alarm Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7903","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7904","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7905","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7906","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7907","Control Panel","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7908","Operation Process","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7909","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7910","Drug Libary Thread","The patient should not receive so much drug that makes him unaware"
"SCP7911","Event Logger Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP7912","Scanner","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7913","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7914","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7915","Pump","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7916","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7917","Fault Logger","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7918","Upstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7919","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7920","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7921","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7922","Parameters","Performs primary pump operation"
"SCP7923","Alarm Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7924","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7925","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7926","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7927","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7928","Control Panel","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7929","Operation Process","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP7930","Upstream Monitor","The patient should receive enough drug to relieve the pain."
"SCP7931","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7932","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7933","Patient Button","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7934","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7935","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7936","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7937","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7938","Security Status","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7939","Alarms","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7940","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7941","Control Panel","The patient should not receive so much drug that makes him unaware"
"SCP7942","Operation Process","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP7943","Operation Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7944","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7945","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7946","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7947","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7948","Security Subsystem","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7949","Pump","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7950","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7951","Fault Logger","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7952","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7953","Downstream Monitor","Performs primary pump operation"
"SCP7954","ICE Bus Adapter","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7955","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7956","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7957","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7958","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7959","Security Status","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7960","Alarms","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP7961","Power Control","The patient should receive enough drug to relieve the pain."
"SCP7962","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7963","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7964","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7965","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7966","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7967","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7968","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7969","Failture LED","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7970","Alarm Thread","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7971","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7972","Security Status","The patient should not receive so much drug that makes him unaware"
"SCP7973","Alarms","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP7974","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7975","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7976","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7977","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7978","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7979","Event Logger Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7980","Scanner","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7981","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7982","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7983","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7984","Error Dector","Performs primary pump operation"
"SCP7985","Fault Logger","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7986","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7987","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7988","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7989","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"SCP7990","Parameters","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP7991","Alarm Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP7992","Pump fault manager","The patient should receive enough drug to relieve the pain."
