"CLASSNAME","DESCRIPTION","CREATEDBY","CREATEDON","VERSION","CLASSES"
"PCA6527","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2015-01-14","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\ClientWarn.java"
"PCA6528","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2015-01-14","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\DatacenterSyncWriteResponseHandler.java"
"PCA6529","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2015-01-14","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\DatacenterWriteResponseHandler.java"
"PCA6530"," ","Caleb","2015-01-14","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\DigestMismatchException.java"
"PCA6531","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2015-01-14","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\EchoVerbHandler.java"
"PCA6532","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2015-01-14","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\EmbeddedCassandraService.java"
"PCA6533","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2015-01-14","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\FileCacheService.java"
"PCA6534","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2015-01-14","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\GCInspector.java"
"PCA6535"," ","Alex","2015-01-14","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\GCInspectorMXBean.java"
"PCA6536","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2015-01-14","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\IEndpointLifecycleSubscriber.java"
"PCA6537","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2015-01-14","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\IReadCommand.java"
"PCA6538","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2015-01-13","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\IResponseResolver.java"
"PCA6539","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2015-01-13","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\LoadBroadcaster.java"
"PCA6540"," ","Alex","2015-01-13","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\MigrationListener.java"
"PCA6541","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2015-01-13","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\MigrationManager.java"
"PCA6542","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2015-01-13","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\MigrationTask.java"
"PCA6543","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2015-01-13","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\NativeAccessMBean.java"
"PCA6544","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2015-01-13","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\pager\AbstractQueryPager.java"
"PCA6545"," ","Caleb","2015-01-13","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\pager\MultiPartitionPager.java"
"PCA6546","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2015-01-13","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\pager\NamesQueryPager.java"
"PCA6547","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2015-01-13","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\pager\Pageable.java"
"PCA6548","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2015-01-13","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\pager\PagingState.java"
"PCA6549","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2015-01-13","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\pager\QueryPager.java"
"PCA6550"," ","Caleb","2015-01-12","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\pager\QueryPagers.java"
"PCA6551","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2015-01-12","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\pager\RangeNamesQueryPager.java"
"PCA6552","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2015-01-12","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\pager\RangeSliceQueryPager.java"
"PCA6553","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2015-01-12","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\pager\SinglePartitionPager.java"
"PCA6554","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2015-01-12","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\pager\SliceQueryPager.java"
"PCA6555"," ","Alex","2015-01-12","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\paxos\AbstractPaxosCallback.java"
"PCA6556","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2015-01-12","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\paxos\Commit.java"
"PCA6557","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2015-01-12","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\paxos\CommitVerbHandler.java"
"PCA6558","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2015-01-12","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\paxos\PaxosState.java"
"PCA6559","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2015-01-12","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\paxos\PrepareCallback.java"
"PCA6560"," ","Alex","2015-01-12","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\paxos\PrepareResponse.java"
"PCA6561","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2015-01-12","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\paxos\PrepareVerbHandler.java"
"PCA6562","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2015-01-11","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\paxos\ProposeCallback.java"
"PCA6563","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2015-01-11","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\paxos\ProposeVerbHandler.java"
"PCA6564","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2015-01-11","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\PendingRangeCalculatorService.java"
"PCA6565"," ","Caleb","2015-01-11","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\QueryState.java"
"PCA6566","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2015-01-11","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\RangeSliceResponseResolver.java"
"PCA6567","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2015-01-11","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\RangeSliceVerbHandler.java"
"PCA6568","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2015-01-11","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\ReadCallback.java"
"PCA6569","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2015-01-11","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\RowDataResolver.java"
"PCA6570"," ","Caleb","2015-01-11","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\RowDigestResolver.java"
"PCA6571","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2015-01-11","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\SnapshotVerbHandler.java"
"PCA6572","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2015-01-11","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\StartupCheck.java"
"PCA6573","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2015-01-11","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\StartupChecks.java"
"PCA6574","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2015-01-10","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\StorageProxy.java"
"PCA6575"," ","Alex","2015-01-10","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\StorageProxyMBean.java"
"PCA6576","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2015-01-10","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\StorageService.java"
"PCA6577","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2015-01-10","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\StorageServiceMBean.java"
"PCA6578","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2015-01-10","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\TruncateResponseHandler.java"
"PCA6579","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2015-01-10","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\WriteResponseHandler.java"
"PCA6580"," ","Alex","2015-01-10","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\compress\CompressedInputStream.java"
"PCA6581","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2015-01-10","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\compress\CompressedStreamReader.java"
"PCA6582","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2015-01-10","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\compress\CompressedStreamWriter.java"
"PCA6583","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2015-01-10","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\compress\CompressionInfo.java"
"PCA6584","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2015-01-10","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\ConnectionHandler.java"
"PCA6585"," ","Caleb","2015-01-10","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\DefaultConnectionFactory.java"
"PCA6586","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2015-01-09","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\management\ProgressInfoCompositeData.java"
"PCA6587","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2015-01-09","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\management\SessionCompleteEventCompositeData.java"
"PCA6588","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2015-01-09","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\management\SessionInfoCompositeData.java"
"PCA6589","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2015-01-09","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\management\StreamEventJMXNotifier.java"
"PCA6590"," ","Caleb","2015-01-09","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\management\StreamStateCompositeData.java"
"PCA6591","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2015-01-09","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\management\StreamSummaryCompositeData.java"
"PCA6592","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2015-01-09","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\messages\CompleteMessage.java"
"PCA6593","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2015-01-09","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\messages\FileMessageHeader.java"
"PCA6594","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2015-01-09","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\messages\IncomingFileMessage.java"
"PCA6595"," ","Alex","2015-01-09","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\messages\OutgoingFileMessage.java"
"PCA6596","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2015-01-09","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\messages\PrepareMessage.java"
"PCA6597","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2015-01-09","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\messages\ReceivedMessage.java"
"PCA6598","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2015-01-08","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\messages\RetryMessage.java"
"PCA6599","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2015-01-08","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\messages\SessionFailedMessage.java"
"PCA6600"," ","Alex","2015-01-08","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\messages\StreamInitMessage.java"
"PCA6601","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2015-01-08","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\messages\StreamMessage.java"
"PCA6602","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2015-01-08","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\ProgressInfo.java"
"PCA6603","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2015-01-08","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\ReplicationFinishedVerbHandler.java"
"PCA6604","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2015-01-08","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\SessionInfo.java"
"PCA6605"," ","Caleb","2015-01-08","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamConnectionFactory.java"
"PCA6606","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2015-01-08","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamCoordinator.java"
"PCA6607","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2015-01-08","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamEvent.java"
"PCA6608","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2015-01-08","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamEventHandler.java"
"PCA6609","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2015-01-08","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamException.java"
"PCA6610"," ","Caleb","2015-01-07","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamLockfile.java"
"PCA6611","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2015-01-07","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamManager.java"
"PCA6612","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2015-01-07","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamManagerMBean.java"
"PCA6613","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2015-01-07","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamPlan.java"
"PCA6614","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2015-01-07","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamReader.java"
"PCA6615"," ","Alex","2015-01-07","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamReceiveTask.java"
"PCA6616","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2015-01-07","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamRequest.java"
"PCA6617","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2015-01-07","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamResultFuture.java"
"PCA6618","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2015-01-07","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamSession.java"
"PCA6619","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2015-01-07","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamState.java"
"PCA6620"," ","Alex","2015-01-07","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamSummary.java"
"PCA6621","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2015-01-07","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamTask.java"
"PCA6622","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2015-01-06","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamTransferTask.java"
"PCA6623","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2015-01-06","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamWriter.java"
"PCA6624","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2015-01-06","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\CassandraServer.java"
"PCA6625"," ","Caleb","2015-01-06","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\CustomTNonBlockingServer.java"
"PCA6626","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2015-01-06","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\CustomTThreadPoolServer.java"
"PCA6627","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2015-01-06","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\ITransportFactory.java"
"PCA6628","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2015-01-06","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\SSLTransportFactory.java"
"PCA6629","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2015-01-06","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\TCustomNonblockingServerSocket.java"
"PCA6630"," ","Caleb","2015-01-06","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\TCustomServerSocket.java"
"PCA6631","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2015-01-06","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\TCustomSocket.java"
"PCA6632","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2015-01-06","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\TFramedTransportFactory.java"
"PCA6633","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2015-01-06","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\ThriftClientState.java"
"PCA6634","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2015-01-05","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\ThriftConversion.java"
"PCA6635"," ","Alex","2015-01-05","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\ThriftServer.java"
"PCA6636","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2015-01-05","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\ThriftSessionManager.java"
"PCA6637","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2015-01-05","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\ThriftValidation.java"
"PCA6638","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2015-01-05","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\THsHaDisruptorServer.java"
"PCA6639","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2015-01-05","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\TServerCustomFactory.java"
"PCA6640"," ","Alex","2015-01-05","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\TServerFactory.java"
"PCA6641","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2015-01-05","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\AbstractJmxClient.java"
"PCA6642","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2015-01-05","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\BootstrapMonitor.java"
"PCA6643","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2015-01-05","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\BulkLoadConnectionFactory.java"
"PCA6644","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2015-01-05","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\BulkLoader.java"
"PCA6645"," ","Caleb","2015-01-05","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\GetVersion.java"
"PCA6646","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2015-01-04","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\NodeProbe.java"
"PCA6647","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2015-01-04","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\Assassinate.java"
"PCA6648","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2015-01-04","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\BootstrapResume.java"
"PCA6649","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2015-01-04","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\CfHistograms.java"
"PCA6650"," ","Caleb","2015-01-04","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\CfStats.java"
"PCA6651","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2015-01-04","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\Cleanup.java"
"PCA6652","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2015-01-04","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\ClearSnapshot.java"
"PCA6653","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2015-01-04","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\Compact.java"
"PCA6654","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2015-01-04","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\CompactionHistory.java"
"PCA6655"," ","Alex","2015-01-04","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\CompactionStats.java"
"PCA6656","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2015-01-04","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\Decommission.java"
"PCA6657","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2015-01-04","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\DescribeCluster.java"
"PCA6658","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2015-01-03","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\DescribeRing.java"
"PCA6659","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2015-01-03","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\DisableAutoCompaction.java"
"PCA6660"," ","Alex","2015-01-03","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\DisableBackup.java"
"PCA6661","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2015-01-03","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\DisableBinary.java"
