"EXCEPTIONCASESTEPID","DESCRIPTION"
"ECS12111","blockage between pump and patient"
"ECS12112","blockage between reservoir and pump"
"ECS12113","bubble detection"
"ECS12114","dose reaches maximum allowed by drug library"
"ECS12115","clinician not authorized to operate pump"
"ECS12116","patient not admitted to hospital"
"ECS12117","the drug libary fails authenticity or integrity check"
"ECS12118","basal rate or bolus VTBI exceeded soft limit"
"ECS12119","measured flow rate below setting"
"ECS12120","pump temperature exceeds 55 C"
"ECS12121","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12122","blockage between pump and patient"
"ECS12123","blockage between reservoir and pump"
"ECS12124","bubble detection"
"ECS12125","dose reaches maximum allowed by drug library"
"ECS12126","clinician not authorized to operate pump"
"ECS12127","basal rate or bolus VTBI exceeded hard limit"
"ECS12128","power-on self test fails"
"ECS12129","PCA pump detects its own failure"
"ECS12130","pump fails to prime after loading drug reservoir"
"ECS12131","measured flow rate exceeds setting"
"ECS12132","measured flow rate below setting"
"ECS12133","pump temperature exceeds 55 C"
"ECS12134","ng drug reservoir"
"ECS12135","measured flow rate exceeds setting"
"ECS12136","patient not admitted to hospital"
"ECS12137","drug or prescription not intended for this patient"
"ECS12138","no audible alarm"
"ECS12139","indication of no ICE alarms enabled"
"ECS12140","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12141","blockage between pump and patient"
"ECS12142","blockage between reservoir and pump"
"ECS12143","bubble detection"
"ECS12144","dose reaches maximum allowed by drug library"
"ECS12145","clinician not authorized to operate pump"
"ECS12146","patient not admitted to hospital"
"ECS12147","the drug libary fails authenticity or integrity check"
"ECS12148","basal rate or bolus VTBI exceeded soft limit"
"ECS12149","measured flow rate below setting"
"ECS12150","pump temperature exceeds 55 C"
"ECS12151","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12152","blockage between pump and patient"
"ECS12153","blockage between reservoir and pump"
"ECS12154","bubble detection"
"ECS12155","dose reaches maximum allowed by drug library"
"ECS12156","clinician not authorized to operate pump"
"ECS12157","basal rate or bolus VTBI exceeded hard limit"
"ECS12158","power-on self test fails"
"ECS12159","PCA pump detects its own failure"
"ECS12160","pump fails to prime after loading drug reservoir"
"ECS12161","measured flow rate exceeds setting"
"ECS12162","measured flow rate below setting"
"ECS12163","pump temperature exceeds 55 C"
"ECS12164","ng drug reservoir"
"ECS12165","measured flow rate exceeds setting"
"ECS12166","patient not admitted to hospital"
"ECS12167","drug or prescription not intended for this patient"
"ECS12168","no audible alarm"
"ECS12169","indication of no ICE alarms enabled"
"ECS12170","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12171","blockage between pump and patient"
"ECS12172","blockage between reservoir and pump"
"ECS12173","bubble detection"
"ECS12174","dose reaches maximum allowed by drug library"
"ECS12175","clinician not authorized to operate pump"
"ECS12176","patient not admitted to hospital"
"ECS12177","the drug libary fails authenticity or integrity check"
"ECS12178","basal rate or bolus VTBI exceeded soft limit"
"ECS12179","measured flow rate below setting"
"ECS12180","pump temperature exceeds 55 C"
"ECS12181","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12182","blockage between pump and patient"
"ECS12183","blockage between reservoir and pump"
"ECS12184","bubble detection"
"ECS12185","dose reaches maximum allowed by drug library"
"ECS12186","clinician not authorized to operate pump"
"ECS12187","basal rate or bolus VTBI exceeded hard limit"
"ECS12188","power-on self test fails"
"ECS12189","PCA pump detects its own failure"
"ECS12190","pump fails to prime after loading drug reservoir"
"ECS12191","measured flow rate exceeds setting"
"ECS12192","measured flow rate below setting"
"ECS12193","pump temperature exceeds 55 C"
"ECS12194","ng drug reservoir"
"ECS12195","measured flow rate exceeds setting"
"ECS12196","patient not admitted to hospital"
"ECS12197","drug or prescription not intended for this patient"
"ECS12198","no audible alarm"
"ECS12199","indication of no ICE alarms enabled"
"ECS12200","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12201","blockage between pump and patient"
"ECS12202","blockage between reservoir and pump"
"ECS12203","bubble detection"
"ECS12204","dose reaches maximum allowed by drug library"
"ECS12205","clinician not authorized to operate pump"
"ECS12206","patient not admitted to hospital"
"ECS12207","the drug libary fails authenticity or integrity check"
"ECS12208","basal rate or bolus VTBI exceeded soft limit"
"ECS12209","measured flow rate below setting"
"ECS12210","pump temperature exceeds 55 C"
"ECS12211","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12212","blockage between pump and patient"
"ECS12213","blockage between reservoir and pump"
"ECS12214","bubble detection"
"ECS12215","dose reaches maximum allowed by drug library"
"ECS12216","clinician not authorized to operate pump"
"ECS12217","basal rate or bolus VTBI exceeded hard limit"
"ECS12218","power-on self test fails"
"ECS12219","PCA pump detects its own failure"
"ECS12220","pump fails to prime after loading drug reservoir"
"ECS12221","measured flow rate exceeds setting"
"ECS12222","measured flow rate below setting"
"ECS12223","pump temperature exceeds 55 C"
"ECS12224","ng drug reservoir"
"ECS12225","measured flow rate exceeds setting"
"ECS12226","patient not admitted to hospital"
"ECS12227","drug or prescription not intended for this patient"
"ECS12228","no audible alarm"
"ECS12229","indication of no ICE alarms enabled"
"ECS12230","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12231","blockage between pump and patient"
"ECS12232","blockage between reservoir and pump"
"ECS12233","bubble detection"
"ECS12234","dose reaches maximum allowed by drug library"
"ECS12235","clinician not authorized to operate pump"
"ECS12236","patient not admitted to hospital"
"ECS12237","the drug libary fails authenticity or integrity check"
"ECS12238","basal rate or bolus VTBI exceeded soft limit"
"ECS12239","measured flow rate below setting"
"ECS12240","pump temperature exceeds 55 C"
"ECS12241","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12242","blockage between pump and patient"
"ECS12243","blockage between reservoir and pump"
"ECS12244","bubble detection"
"ECS12245","dose reaches maximum allowed by drug library"
"ECS12246","clinician not authorized to operate pump"
"ECS12247","basal rate or bolus VTBI exceeded hard limit"
"ECS12248","power-on self test fails"
"ECS12249","PCA pump detects its own failure"
"ECS12250","pump fails to prime after loading drug reservoir"
"ECS12251","measured flow rate exceeds setting"
"ECS12252","measured flow rate below setting"
"ECS12253","pump temperature exceeds 55 C"
"ECS12254","ng drug reservoir"
"ECS12255","measured flow rate exceeds setting"
"ECS12256","patient not admitted to hospital"
"ECS12257","drug or prescription not intended for this patient"
"ECS12258","no audible alarm"
"ECS12259","indication of no ICE alarms enabled"
"ECS12260","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12261","blockage between pump and patient"
"ECS12262","blockage between reservoir and pump"
"ECS12263","bubble detection"
"ECS12264","dose reaches maximum allowed by drug library"
"ECS12265","clinician not authorized to operate pump"
"ECS12266","patient not admitted to hospital"
"ECS12267","the drug libary fails authenticity or integrity check"
"ECS12268","basal rate or bolus VTBI exceeded soft limit"
"ECS12269","measured flow rate below setting"
"ECS12270","pump temperature exceeds 55 C"
"ECS12271","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12272","blockage between pump and patient"
"ECS12273","blockage between reservoir and pump"
"ECS12274","bubble detection"
"ECS12275","dose reaches maximum allowed by drug library"
"ECS12276","clinician not authorized to operate pump"
"ECS12277","basal rate or bolus VTBI exceeded hard limit"
"ECS12278","power-on self test fails"
"ECS12279","PCA pump detects its own failure"
"ECS12280","pump fails to prime after loading drug reservoir"
"ECS12281","measured flow rate exceeds setting"
"ECS12282","measured flow rate below setting"
"ECS12283","pump temperature exceeds 55 C"
"ECS12284","ng drug reservoir"
"ECS12285","measured flow rate exceeds setting"
"ECS12286","patient not admitted to hospital"
"ECS12287","drug or prescription not intended for this patient"
"ECS12288","no audible alarm"
"ECS12289","indication of no ICE alarms enabled"
"ECS12290","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12291","blockage between pump and patient"
"ECS12292","blockage between reservoir and pump"
"ECS12293","bubble detection"
"ECS12294","dose reaches maximum allowed by drug library"
"ECS12295","clinician not authorized to operate pump"
"ECS12296","patient not admitted to hospital"
"ECS12297","the drug libary fails authenticity or integrity check"
"ECS12298","basal rate or bolus VTBI exceeded soft limit"
"ECS12299","measured flow rate below setting"
"ECS12300","pump temperature exceeds 55 C"
"ECS12301","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12302","blockage between pump and patient"
"ECS12303","blockage between reservoir and pump"
"ECS12304","bubble detection"
"ECS12305","dose reaches maximum allowed by drug library"
"ECS12306","clinician not authorized to operate pump"
"ECS12307","basal rate or bolus VTBI exceeded hard limit"
"ECS12308","power-on self test fails"
"ECS12309","PCA pump detects its own failure"
"ECS12310","pump fails to prime after loading drug reservoir"
"ECS12311","measured flow rate exceeds setting"
"ECS12312","measured flow rate below setting"
"ECS12313","pump temperature exceeds 55 C"
"ECS12314","ng drug reservoir"
"ECS12315","measured flow rate exceeds setting"
"ECS12316","patient not admitted to hospital"
"ECS12317","drug or prescription not intended for this patient"
"ECS12318","no audible alarm"
"ECS12319","indication of no ICE alarms enabled"
"ECS12320","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12321","blockage between pump and patient"
"ECS12322","blockage between reservoir and pump"
"ECS12323","bubble detection"
"ECS12324","dose reaches maximum allowed by drug library"
"ECS12325","clinician not authorized to operate pump"
"ECS12326","patient not admitted to hospital"
"ECS12327","the drug libary fails authenticity or integrity check"
"ECS12328","basal rate or bolus VTBI exceeded soft limit"
"ECS12329","measured flow rate below setting"
"ECS12330","pump temperature exceeds 55 C"
"ECS12331","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12332","blockage between pump and patient"
"ECS12333","blockage between reservoir and pump"
"ECS12334","bubble detection"
"ECS12335","dose reaches maximum allowed by drug library"
"ECS12336","clinician not authorized to operate pump"
"ECS12337","basal rate or bolus VTBI exceeded hard limit"
"ECS12338","power-on self test fails"
"ECS12339","PCA pump detects its own failure"
"ECS12340","pump fails to prime after loading drug reservoir"
"ECS12341","measured flow rate exceeds setting"
"ECS12342","measured flow rate below setting"
"ECS12343","pump temperature exceeds 55 C"
"ECS12344","ng drug reservoir"
"ECS12345","measured flow rate exceeds setting"
"ECS12346","patient not admitted to hospital"
"ECS12347","drug or prescription not intended for this patient"
"ECS12348","no audible alarm"
"ECS12349","indication of no ICE alarms enabled"
"ECS12350","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12351","blockage between pump and patient"
"ECS12352","blockage between reservoir and pump"
"ECS12353","bubble detection"
"ECS12354","dose reaches maximum allowed by drug library"
"ECS12355","clinician not authorized to operate pump"
"ECS12356","patient not admitted to hospital"
"ECS12357","the drug libary fails authenticity or integrity check"
"ECS12358","basal rate or bolus VTBI exceeded soft limit"
"ECS12359","measured flow rate below setting"
"ECS12360","pump temperature exceeds 55 C"
"ECS12361","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12362","blockage between pump and patient"
"ECS12363","blockage between reservoir and pump"
"ECS12364","bubble detection"
"ECS12365","dose reaches maximum allowed by drug library"
"ECS12366","clinician not authorized to operate pump"
"ECS12367","basal rate or bolus VTBI exceeded hard limit"
"ECS12368","power-on self test fails"
"ECS12369","PCA pump detects its own failure"
"ECS12370","pump fails to prime after loading drug reservoir"
"ECS12371","measured flow rate exceeds setting"
"ECS12372","measured flow rate below setting"
"ECS12373","pump temperature exceeds 55 C"
"ECS12374","ng drug reservoir"
"ECS12375","measured flow rate exceeds setting"
"ECS12376","patient not admitted to hospital"
"ECS12377","drug or prescription not intended for this patient"
"ECS12378","no audible alarm"
"ECS12379","indication of no ICE alarms enabled"
"ECS12380","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12381","blockage between pump and patient"
"ECS12382","blockage between reservoir and pump"
"ECS12383","bubble detection"
"ECS12384","dose reaches maximum allowed by drug library"
"ECS12385","clinician not authorized to operate pump"
"ECS12386","patient not admitted to hospital"
"ECS12387","the drug libary fails authenticity or integrity check"
"ECS12388","basal rate or bolus VTBI exceeded soft limit"
"ECS12389","measured flow rate below setting"
"ECS12390","pump temperature exceeds 55 C"
"ECS12391","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12392","blockage between pump and patient"
"ECS12393","blockage between reservoir and pump"
"ECS12394","bubble detection"
"ECS12395","dose reaches maximum allowed by drug library"
"ECS12396","clinician not authorized to operate pump"
"ECS12397","basal rate or bolus VTBI exceeded hard limit"
"ECS12398","power-on self test fails"
"ECS12399","PCA pump detects its own failure"
"ECS12400","pump fails to prime after loading drug reservoir"
"ECS12401","measured flow rate exceeds setting"
"ECS12402","measured flow rate below setting"
"ECS12403","pump temperature exceeds 55 C"
"ECS12404","ng drug reservoir"
"ECS12405","measured flow rate exceeds setting"
"ECS12406","patient not admitted to hospital"
"ECS12407","drug or prescription not intended for this patient"
"ECS12408","no audible alarm"
"ECS12409","indication of no ICE alarms enabled"
"ECS12410","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12411","blockage between pump and patient"
"ECS12412","blockage between reservoir and pump"
"ECS12413","bubble detection"
"ECS12414","dose reaches maximum allowed by drug library"
"ECS12415","clinician not authorized to operate pump"
"ECS12416","patient not admitted to hospital"
"ECS12417","the drug libary fails authenticity or integrity check"
"ECS12418","basal rate or bolus VTBI exceeded soft limit"
"ECS12419","measured flow rate below setting"
"ECS12420","pump temperature exceeds 55 C"
"ECS12421","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12422","blockage between pump and patient"
"ECS12423","blockage between reservoir and pump"
"ECS12424","bubble detection"
"ECS12425","dose reaches maximum allowed by drug library"
"ECS12426","clinician not authorized to operate pump"
"ECS12427","basal rate or bolus VTBI exceeded hard limit"
"ECS12428","power-on self test fails"
"ECS12429","PCA pump detects its own failure"
"ECS12430","pump fails to prime after loading drug reservoir"
"ECS12431","measured flow rate exceeds setting"
"ECS12432","measured flow rate below setting"
"ECS12433","pump temperature exceeds 55 C"
"ECS12434","ng drug reservoir"
"ECS12435","measured flow rate exceeds setting"
"ECS12436","patient not admitted to hospital"
"ECS12437","drug or prescription not intended for this patient"
"ECS12438","no audible alarm"
"ECS12439","indication of no ICE alarms enabled"
"ECS12440","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12441","blockage between pump and patient"
"ECS12442","blockage between reservoir and pump"
"ECS12443","bubble detection"
"ECS12444","dose reaches maximum allowed by drug library"
"ECS12445","clinician not authorized to operate pump"
"ECS12446","patient not admitted to hospital"
"ECS12447","the drug libary fails authenticity or integrity check"
"ECS12448","basal rate or bolus VTBI exceeded soft limit"
"ECS12449","measured flow rate below setting"
"ECS12450","pump temperature exceeds 55 C"
"ECS12451","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12452","blockage between pump and patient"
"ECS12453","blockage between reservoir and pump"
"ECS12454","bubble detection"
"ECS12455","dose reaches maximum allowed by drug library"
"ECS12456","clinician not authorized to operate pump"
"ECS12457","basal rate or bolus VTBI exceeded hard limit"
"ECS12458","power-on self test fails"
"ECS12459","PCA pump detects its own failure"
"ECS12460","pump fails to prime after loading drug reservoir"
"ECS12461","measured flow rate exceeds setting"
"ECS12462","measured flow rate below setting"
"ECS12463","pump temperature exceeds 55 C"
"ECS12464","ng drug reservoir"
"ECS12465","measured flow rate exceeds setting"
"ECS12466","patient not admitted to hospital"
"ECS12467","drug or prescription not intended for this patient"
"ECS12468","no audible alarm"
"ECS12469","indication of no ICE alarms enabled"
"ECS12470","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12471","blockage between pump and patient"
"ECS12472","blockage between reservoir and pump"
"ECS12473","bubble detection"
"ECS12474","dose reaches maximum allowed by drug library"
"ECS12475","clinician not authorized to operate pump"
"ECS12476","patient not admitted to hospital"
"ECS12477","the drug libary fails authenticity or integrity check"
"ECS12478","basal rate or bolus VTBI exceeded soft limit"
"ECS12479","measured flow rate below setting"
"ECS12480","pump temperature exceeds 55 C"
"ECS12481","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12482","blockage between pump and patient"
"ECS12483","blockage between reservoir and pump"
"ECS12484","bubble detection"
"ECS12485","dose reaches maximum allowed by drug library"
"ECS12486","clinician not authorized to operate pump"
"ECS12487","basal rate or bolus VTBI exceeded hard limit"
"ECS12488","power-on self test fails"
"ECS12489","PCA pump detects its own failure"
"ECS12490","pump fails to prime after loading drug reservoir"
"ECS12491","measured flow rate exceeds setting"
"ECS12492","measured flow rate below setting"
"ECS12493","pump temperature exceeds 55 C"
"ECS12494","ng drug reservoir"
"ECS12495","measured flow rate exceeds setting"
"ECS12496","patient not admitted to hospital"
"ECS12497","drug or prescription not intended for this patient"
"ECS12498","no audible alarm"
"ECS12499","indication of no ICE alarms enabled"
"ECS12500","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12501","blockage between pump and patient"
"ECS12502","blockage between reservoir and pump"
"ECS12503","bubble detection"
"ECS12504","dose reaches maximum allowed by drug library"
"ECS12505","clinician not authorized to operate pump"
"ECS12506","patient not admitted to hospital"
"ECS12507","the drug libary fails authenticity or integrity check"
"ECS12508","basal rate or bolus VTBI exceeded soft limit"
"ECS12509","measured flow rate below setting"
"ECS12510","pump temperature exceeds 55 C"
"ECS12511","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12512","blockage between pump and patient"
"ECS12513","blockage between reservoir and pump"
"ECS12514","bubble detection"
"ECS12515","dose reaches maximum allowed by drug library"
"ECS12516","clinician not authorized to operate pump"
"ECS12517","basal rate or bolus VTBI exceeded hard limit"
"ECS12518","power-on self test fails"
"ECS12519","PCA pump detects its own failure"
"ECS12520","pump fails to prime after loading drug reservoir"
"ECS12521","measured flow rate exceeds setting"
"ECS12522","measured flow rate below setting"
"ECS12523","pump temperature exceeds 55 C"
"ECS12524","ng drug reservoir"
"ECS12525","measured flow rate exceeds setting"
"ECS12526","patient not admitted to hospital"
"ECS12527","drug or prescription not intended for this patient"
"ECS12528","no audible alarm"
"ECS12529","indication of no ICE alarms enabled"
"ECS12530","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12531","blockage between pump and patient"
"ECS12532","blockage between reservoir and pump"
"ECS12533","bubble detection"
"ECS12534","dose reaches maximum allowed by drug library"
"ECS12535","clinician not authorized to operate pump"
"ECS12536","patient not admitted to hospital"
"ECS12537","the drug libary fails authenticity or integrity check"
"ECS12538","basal rate or bolus VTBI exceeded soft limit"
"ECS12539","measured flow rate below setting"
"ECS12540","pump temperature exceeds 55 C"
"ECS12541","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12542","blockage between pump and patient"
"ECS12543","blockage between reservoir and pump"
"ECS12544","bubble detection"
"ECS12545","dose reaches maximum allowed by drug library"
"ECS12546","clinician not authorized to operate pump"
"ECS12547","basal rate or bolus VTBI exceeded hard limit"
"ECS12548","power-on self test fails"
"ECS12549","PCA pump detects its own failure"
"ECS12550","pump fails to prime after loading drug reservoir"
"ECS12551","measured flow rate exceeds setting"
"ECS12552","measured flow rate below setting"
"ECS12553","pump temperature exceeds 55 C"
"ECS12554","ng drug reservoir"
"ECS12555","measured flow rate exceeds setting"
"ECS12556","patient not admitted to hospital"
"ECS12557","drug or prescription not intended for this patient"
"ECS12558","no audible alarm"
"ECS12559","indication of no ICE alarms enabled"
"ECS12560","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12561","blockage between pump and patient"
"ECS12562","blockage between reservoir and pump"
"ECS12563","bubble detection"
"ECS12564","dose reaches maximum allowed by drug library"
"ECS12565","clinician not authorized to operate pump"
"ECS12566","patient not admitted to hospital"
"ECS12567","the drug libary fails authenticity or integrity check"
"ECS12568","basal rate or bolus VTBI exceeded soft limit"
"ECS12569","measured flow rate below setting"
"ECS12570","pump temperature exceeds 55 C"
"ECS12571","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12572","blockage between pump and patient"
"ECS12573","blockage between reservoir and pump"
"ECS12574","bubble detection"
"ECS12575","dose reaches maximum allowed by drug library"
"ECS12576","clinician not authorized to operate pump"
"ECS12577","basal rate or bolus VTBI exceeded hard limit"
"ECS12578","power-on self test fails"
"ECS12579","PCA pump detects its own failure"
"ECS12580","pump fails to prime after loading drug reservoir"
"ECS12581","measured flow rate exceeds setting"
"ECS12582","measured flow rate below setting"
"ECS12583","pump temperature exceeds 55 C"
"ECS12584","ng drug reservoir"
"ECS12585","measured flow rate exceeds setting"
"ECS12586","patient not admitted to hospital"
"ECS12587","drug or prescription not intended for this patient"
"ECS12588","no audible alarm"
"ECS12589","indication of no ICE alarms enabled"
"ECS12590","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12591","blockage between pump and patient"
"ECS12592","blockage between reservoir and pump"
"ECS12593","bubble detection"
"ECS12594","dose reaches maximum allowed by drug library"
"ECS12595","clinician not authorized to operate pump"
"ECS12596","patient not admitted to hospital"
"ECS12597","the drug libary fails authenticity or integrity check"
"ECS12598","basal rate or bolus VTBI exceeded soft limit"
"ECS12599","measured flow rate below setting"
"ECS12600","pump temperature exceeds 55 C"
"ECS12601","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12602","blockage between pump and patient"
"ECS12603","blockage between reservoir and pump"
"ECS12604","bubble detection"
"ECS12605","dose reaches maximum allowed by drug library"
"ECS12606","clinician not authorized to operate pump"
"ECS12607","basal rate or bolus VTBI exceeded hard limit"
"ECS12608","power-on self test fails"
"ECS12609","PCA pump detects its own failure"
"ECS12610","pump fails to prime after loading drug reservoir"
"ECS12611","measured flow rate exceeds setting"
"ECS12612","measured flow rate below setting"
"ECS12613","pump temperature exceeds 55 C"
"ECS12614","ng drug reservoir"
"ECS12615","measured flow rate exceeds setting"
"ECS12616","patient not admitted to hospital"
"ECS12617","drug or prescription not intended for this patient"
"ECS12618","no audible alarm"
"ECS12619","indication of no ICE alarms enabled"
"ECS12620","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12621","blockage between pump and patient"
"ECS12622","blockage between reservoir and pump"
"ECS12623","bubble detection"
"ECS12624","dose reaches maximum allowed by drug library"
"ECS12625","clinician not authorized to operate pump"
"ECS12626","patient not admitted to hospital"
"ECS12627","the drug libary fails authenticity or integrity check"
"ECS12628","basal rate or bolus VTBI exceeded soft limit"
"ECS12629","measured flow rate below setting"
"ECS12630","pump temperature exceeds 55 C"
"ECS12631","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12632","blockage between pump and patient"
"ECS12633","blockage between reservoir and pump"
"ECS12634","bubble detection"
"ECS12635","dose reaches maximum allowed by drug library"
"ECS12636","clinician not authorized to operate pump"
"ECS12637","basal rate or bolus VTBI exceeded hard limit"
"ECS12638","power-on self test fails"
"ECS12639","PCA pump detects its own failure"
"ECS12640","pump fails to prime after loading drug reservoir"
"ECS12641","measured flow rate exceeds setting"
"ECS12642","measured flow rate below setting"
"ECS12643","pump temperature exceeds 55 C"
"ECS12644","ng drug reservoir"
"ECS12645","measured flow rate exceeds setting"
"ECS12646","patient not admitted to hospital"
"ECS12647","drug or prescription not intended for this patient"
"ECS12648","no audible alarm"
"ECS12649","indication of no ICE alarms enabled"
"ECS12650","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12651","blockage between pump and patient"
"ECS12652","blockage between reservoir and pump"
"ECS12653","bubble detection"
"ECS12654","dose reaches maximum allowed by drug library"
"ECS12655","clinician not authorized to operate pump"
"ECS12656","patient not admitted to hospital"
"ECS12657","the drug libary fails authenticity or integrity check"
"ECS12658","basal rate or bolus VTBI exceeded soft limit"
"ECS12659","measured flow rate below setting"
"ECS12660","pump temperature exceeds 55 C"
"ECS12661","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12662","blockage between pump and patient"
"ECS12663","blockage between reservoir and pump"
"ECS12664","bubble detection"
"ECS12665","dose reaches maximum allowed by drug library"
"ECS12666","clinician not authorized to operate pump"
"ECS12667","basal rate or bolus VTBI exceeded hard limit"
"ECS12668","power-on self test fails"
"ECS12669","PCA pump detects its own failure"
"ECS12670","pump fails to prime after loading drug reservoir"
"ECS12671","measured flow rate exceeds setting"
"ECS12672","measured flow rate below setting"
"ECS12673","pump temperature exceeds 55 C"
"ECS12674","ng drug reservoir"
"ECS12675","measured flow rate exceeds setting"
"ECS12676","patient not admitted to hospital"
"ECS12677","drug or prescription not intended for this patient"
"ECS12678","no audible alarm"
"ECS12679","indication of no ICE alarms enabled"
"ECS12680","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12681","blockage between pump and patient"
"ECS12682","blockage between reservoir and pump"
"ECS12683","bubble detection"
"ECS12684","dose reaches maximum allowed by drug library"
"ECS12685","clinician not authorized to operate pump"
"ECS12686","patient not admitted to hospital"
"ECS12687","the drug libary fails authenticity or integrity check"
"ECS12688","basal rate or bolus VTBI exceeded soft limit"
"ECS12689","measured flow rate below setting"
"ECS12690","pump temperature exceeds 55 C"
"ECS12691","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12692","blockage between pump and patient"
"ECS12693","blockage between reservoir and pump"
"ECS12694","bubble detection"
"ECS12695","dose reaches maximum allowed by drug library"
"ECS12696","clinician not authorized to operate pump"
"ECS12697","basal rate or bolus VTBI exceeded hard limit"
"ECS12698","power-on self test fails"
"ECS12699","PCA pump detects its own failure"
"ECS12700","pump fails to prime after loading drug reservoir"
"ECS12701","measured flow rate exceeds setting"
"ECS12702","measured flow rate below setting"
"ECS12703","pump temperature exceeds 55 C"
"ECS12704","ng drug reservoir"
"ECS12705","measured flow rate exceeds setting"
"ECS12706","patient not admitted to hospital"
"ECS12707","drug or prescription not intended for this patient"
"ECS12708","no audible alarm"
"ECS12709","indication of no ICE alarms enabled"
"ECS12710","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12711","blockage between pump and patient"
"ECS12712","blockage between reservoir and pump"
"ECS12713","bubble detection"
"ECS12714","dose reaches maximum allowed by drug library"
"ECS12715","clinician not authorized to operate pump"
"ECS12716","patient not admitted to hospital"
"ECS12717","the drug libary fails authenticity or integrity check"
"ECS12718","basal rate or bolus VTBI exceeded soft limit"
"ECS12719","measured flow rate below setting"
"ECS12720","pump temperature exceeds 55 C"
"ECS12721","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12722","blockage between pump and patient"
"ECS12723","blockage between reservoir and pump"
"ECS12724","bubble detection"
"ECS12725","dose reaches maximum allowed by drug library"
"ECS12726","clinician not authorized to operate pump"
"ECS12727","basal rate or bolus VTBI exceeded hard limit"
"ECS12728","power-on self test fails"
"ECS12729","PCA pump detects its own failure"
"ECS12730","pump fails to prime after loading drug reservoir"
"ECS12731","measured flow rate exceeds setting"
"ECS12732","measured flow rate below setting"
"ECS12733","pump temperature exceeds 55 C"
"ECS12734","ng drug reservoir"
"ECS12735","measured flow rate exceeds setting"
"ECS12736","patient not admitted to hospital"
"ECS12737","drug or prescription not intended for this patient"
"ECS12738","no audible alarm"
"ECS12739","indication of no ICE alarms enabled"
"ECS12740","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12741","blockage between pump and patient"
"ECS12742","blockage between reservoir and pump"
"ECS12743","bubble detection"
"ECS12744","dose reaches maximum allowed by drug library"
"ECS12745","clinician not authorized to operate pump"
"ECS12746","patient not admitted to hospital"
"ECS12747","the drug libary fails authenticity or integrity check"
"ECS12748","basal rate or bolus VTBI exceeded soft limit"
"ECS12749","measured flow rate below setting"
"ECS12750","pump temperature exceeds 55 C"
"ECS12751","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12752","blockage between pump and patient"
"ECS12753","blockage between reservoir and pump"
"ECS12754","bubble detection"
"ECS12755","dose reaches maximum allowed by drug library"
"ECS12756","clinician not authorized to operate pump"
"ECS12757","basal rate or bolus VTBI exceeded hard limit"
"ECS12758","power-on self test fails"
"ECS12759","PCA pump detects its own failure"
"ECS12760","pump fails to prime after loading drug reservoir"
"ECS12761","measured flow rate exceeds setting"
"ECS12762","measured flow rate below setting"
"ECS12763","pump temperature exceeds 55 C"
"ECS12764","ng drug reservoir"
"ECS12765","measured flow rate exceeds setting"
"ECS12766","patient not admitted to hospital"
"ECS12767","drug or prescription not intended for this patient"
"ECS12768","no audible alarm"
"ECS12769","indication of no ICE alarms enabled"
