"EXCEPTIONCASEID","PRIMARYACTOR","TITLE","DESCRIPTION"
"EC4406","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4407","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4408","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC4409","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4410","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC4411","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4412","ICE app","Air-in-line Embolism","bubble detection"
"EC4413","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4414","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4415","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC4416","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4417","Patient","Sound Failure","no audible alarm"
"EC4418","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC4419","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4420","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4421","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4422","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC4423","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC4424","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4425","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4426","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4427","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC4428","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4429","Patient","Downstream Occlusion","blockage between pump and patient"
"EC4430","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4431","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC4432","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4433","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4434","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC4435","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4436","ICE app","Sound Failure","no audible alarm"
"EC4437","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC4438","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4439","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4440","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4441","Patient","Power-On Self Test Failure","power-on self test fails"
"EC4442","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC4443","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4444","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4445","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4446","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC4447","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4448","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC4449","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC4450","Clinician","Air-in-line Embolism","bubble detection"
"EC4451","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4452","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4453","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC4454","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4455","Patient or Clinician","Sound Failure","no audible alarm"
"EC4456","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC4457","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4458","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4459","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4460","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC4461","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC4462","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4463","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4464","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4465","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC4466","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4467","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC4468","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC4469","Patient","Air-in-line Embolism","bubble detection"
"EC4470","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4471","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4472","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC4473","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4474","Clinician","Sound Failure","no audible alarm"
"EC4475","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC4476","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4477","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4478","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4479","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC4480","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC4481","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4482","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4483","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4484","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC4485","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4486","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC4487","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4488","ICE app","Air-in-line Embolism","bubble detection"
"EC4489","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4490","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4491","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC4492","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4493","Patient","Sound Failure","no audible alarm"
"EC4494","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC4495","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4496","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4497","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4498","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC4499","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC4500","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4501","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4502","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4503","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC4504","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4505","Patient","Downstream Occlusion","blockage between pump and patient"
"EC4506","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4507","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC4508","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4509","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4510","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC4511","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4512","ICE app","Sound Failure","no audible alarm"
"EC4513","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC4514","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4515","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4516","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4517","Patient","Power-On Self Test Failure","power-on self test fails"
"EC4518","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC4519","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4520","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4521","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4522","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC4523","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4524","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC4525","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC4526","Clinician","Air-in-line Embolism","bubble detection"
"EC4527","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4528","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4529","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC4530","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4531","Patient or Clinician","Sound Failure","no audible alarm"
"EC4532","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC4533","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4534","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4535","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4536","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC4537","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC4538","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4539","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4540","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4541","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC4542","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4543","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC4544","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC4545","Patient","Air-in-line Embolism","bubble detection"
"EC4546","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4547","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4548","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC4549","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4550","Clinician","Sound Failure","no audible alarm"
"EC4551","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC4552","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4553","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4554","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4555","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC4556","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC4557","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4558","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4559","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4560","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC4561","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4562","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC4563","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4564","ICE app","Air-in-line Embolism","bubble detection"
"EC4565","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4566","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4567","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC4568","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4569","Patient","Sound Failure","no audible alarm"
"EC4570","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC4571","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4572","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4573","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4574","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC4575","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC4576","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4577","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4578","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4579","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC4580","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4581","Patient","Downstream Occlusion","blockage between pump and patient"
"EC4582","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4583","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC4584","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4585","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4586","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC4587","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4588","ICE app","Sound Failure","no audible alarm"
"EC4589","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC4590","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4591","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4592","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4593","Patient","Power-On Self Test Failure","power-on self test fails"
"EC4594","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC4595","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4596","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4597","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4598","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC4599","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4600","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC4601","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC4602","Clinician","Air-in-line Embolism","bubble detection"
"EC4603","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4604","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4605","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC4606","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4607","Patient or Clinician","Sound Failure","no audible alarm"
"EC4608","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC4609","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4610","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4611","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4612","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC4613","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC4614","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4615","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4616","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4617","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC4618","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4619","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC4620","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC4621","Patient","Air-in-line Embolism","bubble detection"
"EC4622","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4623","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4624","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC4625","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4626","Clinician","Sound Failure","no audible alarm"
"EC4627","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC4628","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4629","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4630","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4631","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC4632","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC4633","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4634","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4635","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4636","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC4637","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4638","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC4639","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4640","ICE app","Air-in-line Embolism","bubble detection"
"EC4641","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4642","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4643","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC4644","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4645","Patient","Sound Failure","no audible alarm"
"EC4646","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC4647","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4648","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4649","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4650","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC4651","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC4652","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4653","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4654","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4655","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC4656","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4657","Patient","Downstream Occlusion","blockage between pump and patient"
"EC4658","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4659","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC4660","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4661","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4662","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC4663","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4664","ICE app","Sound Failure","no audible alarm"
"EC4665","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC4666","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4667","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4668","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4669","Patient","Power-On Self Test Failure","power-on self test fails"
"EC4670","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC4671","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4672","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4673","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4674","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC4675","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4676","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC4677","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC4678","Clinician","Air-in-line Embolism","bubble detection"
"EC4679","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4680","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4681","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC4682","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4683","Patient or Clinician","Sound Failure","no audible alarm"
"EC4684","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC4685","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4686","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4687","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4688","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC4689","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC4690","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4691","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4692","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4693","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC4694","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4695","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC4696","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC4697","Patient","Air-in-line Embolism","bubble detection"
"EC4698","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4699","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4700","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC4701","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4702","Clinician","Sound Failure","no audible alarm"
"EC4703","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC4704","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4705","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4706","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4707","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC4708","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC4709","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4710","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4711","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4712","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC4713","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4714","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC4715","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4716","ICE app","Air-in-line Embolism","bubble detection"
"EC4717","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4718","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4719","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC4720","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4721","Patient","Sound Failure","no audible alarm"
"EC4722","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC4723","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4724","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4725","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4726","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC4727","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC4728","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4729","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4730","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4731","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC4732","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4733","Patient","Downstream Occlusion","blockage between pump and patient"
"EC4734","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4735","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC4736","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4737","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4738","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC4739","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4740","ICE app","Sound Failure","no audible alarm"
"EC4741","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC4742","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4743","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4744","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4745","Patient","Power-On Self Test Failure","power-on self test fails"
"EC4746","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC4747","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4748","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4749","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4750","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC4751","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4752","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC4753","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC4754","Clinician","Air-in-line Embolism","bubble detection"
"EC4755","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4756","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4757","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC4758","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4759","Patient or Clinician","Sound Failure","no audible alarm"
"EC4760","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC4761","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4762","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4763","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4764","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC4765","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC4766","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4767","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4768","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4769","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC4770","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4771","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC4772","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC4773","Patient","Air-in-line Embolism","bubble detection"
"EC4774","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4775","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4776","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC4777","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4778","Clinician","Sound Failure","no audible alarm"
