"USECASESTEPID","STEPDESCRIPTION"
"UseCaseStep7563","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7564","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7565"," "
"UseCaseStep7566","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7567","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7568","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7569","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7570"," "
"UseCaseStep7571","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7572","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7573","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7574","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7575"," "
"UseCaseStep7576","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7577","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7578","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7579","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7580"," "
"UseCaseStep7581","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7582","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7583","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7584","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7585"," "
"UseCaseStep7586","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7587","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7588","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7589","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7590"," "
"UseCaseStep7591","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7592","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7593","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7594","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7595"," "
"UseCaseStep7596","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7597","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7598","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7599","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7600"," "
"UseCaseStep7601","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7602","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7603","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7604","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7605"," "
"UseCaseStep7606","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7607","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7608","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7609","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7610"," "
"UseCaseStep7611","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7612","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7613","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7614","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7615"," "
"UseCaseStep7616","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7617","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7618","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7619","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7620"," "
"UseCaseStep7621","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7622","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7623","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7624","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7625"," "
"UseCaseStep7626","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7627","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7628","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7629","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7630"," "
"UseCaseStep7631","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7632","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7633","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7634","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7635"," "
"UseCaseStep7636","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7637","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7638","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7639","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7640"," "
"UseCaseStep7641","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7642","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7643","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7644","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7645"," "
"UseCaseStep7646","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7647","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7648","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7649","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7650"," "
"UseCaseStep7651","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7652","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7653","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7654","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7655"," "
"UseCaseStep7656","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7657","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7658","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7659","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7660"," "
"UseCaseStep7661","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7662","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7663","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7664","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7665"," "
"UseCaseStep7666","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7667","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7668","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7669","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7670"," "
"UseCaseStep7671","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7672","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7673","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7674","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7675"," "
"UseCaseStep7676","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7677","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7678","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7679","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7680"," "
"UseCaseStep7681","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7682","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7683","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7684","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7685"," "
"UseCaseStep7686","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7687","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7688","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7689","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7690"," "
"UseCaseStep7691","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7692","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7693","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7694","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7695"," "
"UseCaseStep7696","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7697","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7698","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7699","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7700"," "
"UseCaseStep7701","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7702","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7703","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7704","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7705"," "
"UseCaseStep7706","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7707","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7708","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7709","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7710"," "
"UseCaseStep7711","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7712","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7713","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7714","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7715"," "
"UseCaseStep7716","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7717","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7718","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7719","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7720"," "
"UseCaseStep7721","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7722","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7723","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7724","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7725"," "
"UseCaseStep7726","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7727","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7728","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7729","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7730"," "
"UseCaseStep7731","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7732","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7733","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7734","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7735"," "
"UseCaseStep7736","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7737","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7738","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7739","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7740"," "
"UseCaseStep7741","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7742","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7743","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7744","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7745"," "
"UseCaseStep7746","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7747","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7748","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7749","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7750"," "
"UseCaseStep7751","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7752","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7753","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7754","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7755"," "
"UseCaseStep7756","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7757","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7758","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7759","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7760"," "
"UseCaseStep7761","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7762","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7763","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7764","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7765"," "
"UseCaseStep7766","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7767","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7768","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7769","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7770"," "
"UseCaseStep7771","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7772","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7773","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7774","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7775"," "
"UseCaseStep7776","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7777","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7778","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7779","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7780"," "
"UseCaseStep7781","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7782","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7783","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7784","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7785"," "
"UseCaseStep7786","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7787","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7788","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7789","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7790"," "
"UseCaseStep7791","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7792","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7793","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7794","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7795"," "
"UseCaseStep7796","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7797","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7798","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7799","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7800"," "
"UseCaseStep7801","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7802","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7803","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7804","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7805"," "
"UseCaseStep7806","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7807","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7808","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7809","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7810"," "
"UseCaseStep7811","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7812","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7813","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7814","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7815"," "
"UseCaseStep7816","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7817","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7818","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7819","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7820"," "
"UseCaseStep7821","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7822","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7823","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7824","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7825"," "
"UseCaseStep7826","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7827","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7828","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7829","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7830"," "
"UseCaseStep7831","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7832","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7833","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7834","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7835"," "
"UseCaseStep7836","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7837","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7838","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7839","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7840"," "
"UseCaseStep7841","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7842","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7843","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7844","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7845"," "
"UseCaseStep7846","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7847","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7848","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7849","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7850"," "
"UseCaseStep7851","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7852","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7853","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7854","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7855"," "
"UseCaseStep7856","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7857","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7858","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7859","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7860"," "
"UseCaseStep7861","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7862","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7863","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep7864","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep7865"," "
"UseCaseStep7866","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep7867","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep7868","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
